,ShadingDade_Temperature_Daily_Max (C),ShadingDade_Temperature_Daily_Max (F),ShadingDade_Temperature_Daily_Min (C),ShadingDade_Temperature_Daily_Min (F),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Max (C),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Max (F),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Min (C),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Min (F),Daily_Temperature_Max_Difference (C),Daily_Temperature_Max_Difference (F),Daily_Temperature_Min_Difference (C),Daily_Temperature_Min_Difference (F),ERA5_Temperature_Daily_Max (C),ERA5_Temperature_Daily_Max (F),ERA5_Temperature_Daily_Max_Datetime,ERA5_Temperature_Daily_Min (C),ERA5_Temperature_Daily_Min (F),ERA5_Temperature_Daily_Min_Datetime,Absolute_time_difference_tmax_ERA5_ShadingDade (day H:M:S),Absolute_time_difference_tmin_ERA5_ShadingDade (day H:M:S)
20,30.875,87.575,23.25,73.85,26.199768,79.15958251953126,25.985168,78.77330322265625,4.67523193359375,8.415417480468747,-2.73516845703125,-4.9233032226562585,28.13983154296875,82.65169677734374,2019-06-29 21:00:00,25.388763427734375,77.69977416992188,2019-06-29 11:00:00,0 days 05:00:00,0 days 01:00:00
21,33.875,92.975,25.875,78.575,27.919373,82.25487060546875,28.927338,84.06920776367187,5.95562744140625,10.720129394531241,-3.052337646484375,-5.4942077636718665,30.152923583984375,86.27526245117187,2019-06-30 21:00:00,26.637298583984375,79.94713745117187,2019-06-30 07:00:00,0 days 09:00:00,0 days 15:59:59
22,38.625,101.525,24.0,75.2,27.194061,80.94931030273438,26.505157,79.70928344726562,11.430938720703125,20.57568969726563,-2.505157470703125,-4.5092834472656165,30.670654296875,87.207177734375,2019-07-01 20:00:00,25.886932373046875,78.59647827148439,2019-07-01 08:00:00,0 days 08:00:00,0 days 02:00:00
23,40.125,104.225,25.875,78.575,27.592194,81.66594848632812,27.683807,81.83085327148439,12.532806396484375,22.559051513671875,-1.808807373046875,-3.2558532714843835,31.48553466796875,88.67396240234376,2019-07-02 20:00:00,26.8404541015625,80.31281738281251,2019-07-02 09:00:00,0 days 08:00:00,0 days 03:00:00
24,39.25,102.65,26.5,79.7,27.635468,81.74384155273438,27.866486,82.15967407226563,11.614532470703125,20.906158447265625,-1.366485595703125,-2.459674072265628,30.237945556640625,86.42830200195313,2019-07-03 15:00:00,27.313629150390625,81.16453247070314,2019-07-03 09:00:00,0 days 05:00:00,0 days 03:00:00
25,39.0,102.2,26.625,79.92500000000001,29.388214,84.89878540039064,27.086517,80.75573120117187,9.611785888671875,17.301214599609366,-0.461517333984375,-0.830731201171858,30.849945068359375,87.52990112304687,2019-07-04 20:00:00,26.947052001953125,80.50469360351562,2019-07-04 06:00:00,0 days 07:00:00,0 days 01:00:00
26,41.0,105.8,28.25,82.85,29.144928,84.46087036132812,28.868134,83.96264038085937,11.855072021484375,21.339129638671878,-0.618133544921875,-1.112640380859375,29.935821533203125,85.88447875976563,2019-07-05 20:00:00,27.212310791015625,80.98215942382814,2019-07-05 10:00:00,0 days 04:00:00,0 days 08:00:01
27,37.25,99.05,26.125,79.025,28.232574,82.81863403320312,29.187347,84.53722534179687,9.017425537109375,16.231365966796872,-3.062347412109375,-5.512225341796864,29.332366943359375,84.79826049804689,2019-07-06 23:00:00,26.962738037109375,80.53292846679688,2019-07-06 11:00:00,0 days 08:00:00,0 days 11:00:00
28,41.5,106.7,24.25,75.65,28.946716,84.10408935546874,27.98352,82.3703369140625,12.55328369140625,22.59591064453126,-3.7335205078125,-6.7203369140625,29.511566162109375,85.12081909179688,2019-07-07 16:00:00,27.20928955078125,80.97672119140626,2019-07-07 09:00:00,0 days 03:00:00,0 days 10:00:00
29,40.125,104.225,23.0,73.4,27.264252,81.07565307617188,28.339996,83.01199340820312,12.860748291015625,23.14934692382812,-5.339996337890625,-9.61199340820312,28.929290771484375,84.07272338867188,2019-07-08 16:00:00,25.646697998046875,78.16405639648437,2019-07-08 23:00:00,0 days 04:00:00,0 days 09:00:01
30,41.25,106.25,23.25,73.85,27.043854,80.67893676757814,25.5802,78.0443603515625,14.206146240234375,25.571063232421864,-2.3302001953125,-4.1943603515625085,29.986724853515625,85.97610473632812,2019-07-09 20:00:00,25.405914306640625,77.73064575195312,2019-07-09 03:00:00,0 days 07:00:00,0 days 03:00:00
31,41.25,106.25,24.375,75.875,27.360565,81.24901733398437,26.453857,79.616943359375,13.889434814453125,25.00098266601563,-2.078857421875,-3.741943359375,30.899871826171875,87.61976928710938,2019-07-10 18:00:00,25.714813232421875,78.28666381835939,2019-07-10 08:00:00,0 days 06:00:00,0 days 02:00:00
32,40.125,104.225,23.125,73.625,29.05487,84.29876708984375,28.485779,83.27440185546875,11.07012939453125,19.926232910156244,-5.36077880859375,-9.649401855468753,29.889617919921875,85.80131225585939,2019-07-11 21:00:00,26.785003662109375,80.21300659179687,2019-07-11 07:00:00,0 days 05:00:00,0 days 05:00:01
33,34.125,93.425,22.375,72.275,26.876373,80.37747192382812,28.221619,82.79891357421874,7.248626708984375,13.047528076171872,-5.84661865234375,-10.523913574218739,29.546630859375,85.183935546875,2019-07-12 21:00:00,25.9884033203125,78.77912597656251,2019-07-12 10:00:00,0 days 09:00:00,0 days 05:00:01
34,37.5,99.5,27.75,81.95,28.522491,83.34048461914062,28.28949,82.92108154296875,8.977508544921875,16.159515380859375,-0.53948974609375,-0.9710815429687472,30.70599365234375,87.27078857421876,2019-07-13 18:00:00,27.618438720703125,81.71318969726562,2019-07-13 08:00:00,0 days 06:00:00,0 days 05:00:00
35,38.5,101.3,28.5,83.30000000000001,29.50241,85.10433959960938,28.552795,83.39503173828126,8.997589111328125,16.195660400390622,-0.05279541015625,-0.09503173828125,30.685821533203125,87.23447875976564,2019-07-14 19:00:00,28.210052490234375,82.77809448242188,2019-07-14 09:00:00,0 days 06:00:00,0 days 04:00:01
36,39.0,102.2,27.75,81.95,28.702728,83.66491088867187,28.105682,82.59022827148438,10.297271728515625,18.535089111328134,-0.355682373046875,-0.640228271484375,30.030914306640625,86.05564575195314,2019-07-15 15:00:00,27.786773681640625,82.01619262695313,2019-07-15 09:00:00,0 days 03:00:00,0 days 03:00:00
37,39.0,102.2,27.875,82.17500000000001,28.055145,82.49926147460937,28.47345,83.25220947265626,10.944854736328125,19.700738525390634,-0.59844970703125,-1.07720947265625,30.842864990234375,87.51715698242188,2019-07-16 17:00:00,27.421417236328125,81.35855102539062,2019-07-16 09:00:00,0 days 06:00:01,0 days 07:00:01
